trimestre,div_01,div_02,div_03,div_04,div_05,div_06,div_07,div_08,div_09,div_10,div_11,div_12,nivel_general
2019Q3,236.1470323938915,189.473719511903,200.83019548115658,264.46680515476515,232.60097533781158,245.4413557388142,239.71589458706833,255.95012572434896,216.17633030923295,224.74184411420964,209.5563521795875,223.87230214962216,231.1882555376927
2019Q4,266.55309576292177,222.35571802033576,235.73018495532577,279.4554472507606,275.57773447617996,290.5604951821053,266.3631208997037,290.47657434479163,242.79889502088133,245.13069993480516,232.2912130561014,257.59800927061633,260.8319561493486
2020Q1,297.65767641320275,245.69254871148712,250.54389624557402,288.4236482527627,286.6498500441124,304.1322417121083,284.2317558699446,330.4328266120156,268.16851413325594,278.8682892152584,257.5327378360321,283.141138801105,282.75541918954144
2020Q2,319.1137100160541,257.4275416129687,285.63674718871204,295.1330206384865,307.1161661782088,315.5829121752734,297.44803400383836,342.4875128282243,291.5589089342913,303.12317338817803,271.8145651663957,292.8987270940257,300.2742592591403
2020Q3,337.3593977754239,274.4119568116234,321.9519732906202,304.25791371752814,344.10586583254116,333.1585383480882,315.98785171502067,349.95067140832975,320.6007111512512,300.8097828090599,285.5556198336074,316.114967187277,319.6298334982957
2020Q4,373.04308658407956,297.09709719301105,373.7827784628723,325.4325559827172,383.5596148612135,365.6110533364544,354.70810585956923,342.26765799256503,355.64271956417497,303.4148956048509,311.6981145269598,342.13127975231316,351.2166641724275
2021Q1,415.13185308840576,332.0788518445768,415.0840872641819,339.7660115114315,421.8560213106973,409.10488082857813,399.1736558676533,399.58180764019585,401.63248106738854,336.78816297245334,362.19584914944244,366.61436512632054,390.9590467339063
2021Q2,468.937667083361,372.8872684996654,490.7115764298063,367.77989791985857,469.5238160979388,458.68356287566854,459.751593324833,416.93855784405224,439.28090924069465,419.3389331310793,402.853701811857,399.38998638748996,439.7991612933476
2021Q3,511.9011062480703,415.359980325366,531.9835945006065,399.16894608050484,512.4990960572317,510.13459149906674,500.2504591428236,440.7828084742242,484.7910563624784,461.16905677428576,452.0754888504775,433.6957243250263,481.81095893754406
2021Q4,557.7562180471393,451.306782159323,619.1967614069907,427.0034559360323,562.0654007523433,573.2003087852868,550.7748226761531,456.63254074802114,536.5273259434671,487.42040108181106,517.8528404153267,471.34103265880054,531.8984392913962
2022Q1,652.8564768988429,493.884829930995,704.2785989009419,460.8583755534041,627.1119718837641,630.8539371403208,615.8893590847026,510.19505101835165,592.5896639294849,541.0204668752856,610.5836708460822,532.1152622051625,602.4041682269044
2022Q2,772.2253439495622,568.2634101314783,899.5886182476207,536.2195255686001,729.2909012736718,749.4208996729229,715.9699733017846,553.8792860221189,673.9450201908245,660.1461383988426,725.9231405436778,615.6886342756268,711.6169670779699
