trimestre,class_0,class_1,class_2,class_3,class_4
2017Q1,100.0,100.0,100.0,100.0,100.0
2017Q2,99.67261017240453,105.91906385732392,104.89030571215356,104.868179584318,105.3734165444371
2017Q3,100.12264663657604,107.460138510245,105.23705887540706,105.06053139402593,108.20705828471439
2017Q4,103.4162875601532,111.90843003719468,103.67609562391513,101.22083111207434,106.9493515678302
2018Q1,100.36400063962212,108.35706537444416,107.78438184815438,96.58067615228482,107.26627618660021
2018Q2,100.21716589980893,101.0314557974896,99.67152649230646,103.27796271825403,101.35929946247433
2018Q3,94.60744751560523,99.87105054530028,93.57743424841456,92.37262415254148,94.3835774204358
2018Q4,91.6500861646104,97.94378535285955,90.88588185866755,89.16225426257162,90.81773893531819
2019Q1,86.78164409778687,99.9959634259528,93.5707284189668,89.68552886743882,81.74412478230118
2019Q2,89.1326791909739,94.37790508027916,91.18553130817413,85.26989786839967,83.98241607928033
2019Q3,92.35343438310302,104.32321001830746,93.1877826567671,90.48344638037426,85.04754723437095
2019Q4,84.7376481382487,92.80397355414358,90.37927328813811,82.288847734407,81.45752838034261
2020Q1,84.99394516040778,84.41057679750426,91.87510916497416,83.58573132349171,81.56595881834573
2020Q2,82.5198849736087,65.79506758504158,94.3090347624244,84.5487648703097,90.4683847426665
2020Q3,83.52590246573737,67.00954079255129,90.10372900141289,77.68681591228285,81.15590270144294
2020Q4,80.92459891606347,73.44963124027335,89.09061965321624,83.6176816662508,71.2851869079501
2021Q1,83.0303156362751,79.12393884620191,90.47977424767988,81.83473324832286,87.42530614424963
2021Q2,83.86064735307994,84.95574900884326,90.84387743671475,80.6361694347738,91.8327854508572
2021Q3,80.40616654546217,80.88904834992775,84.97462478198399,79.03915350419385,78.5650908843355
2021Q4,81.5279461089683,99.19917783648671,83.8058312194003,79.13726856121308,80.95016124396139
2022Q1,81.78716876168976,86.3318526496894,88.21263011595015,86.23896942214128,78.29512413002476
2022Q2,82.68926251641662,73.77059916575341,82.91565488738752,81.2273392365596,76.4420637617459
2022Q3,77.99625542387774,76.90571889311038,81.0318331802408,76.93037062864197,75.48206425043658
2022Q4,79.13249070198835,81.14155567323735,79.82591461731452,81.42155645875256,78.54252413812401
2023Q1,78.45562145269601,76.1599077440707,82.56998806850304,77.74590501168421,73.27435357088615
2023Q2,81.2631429929004,74.88460141841169,82.65491668665082,79.78394207122092,70.23695395189186
2023Q3,75.9964670829499,80.50320375654402,81.80925446925048,86.59511549565691,72.35025974639659
2023Q4,74.72579368029574,78.0203929169033,83.09490736082506,78.74640953598252,72.85691542751789
2024Q1,62.61657649177723,68.20007004617484,67.59809404551524,65.74095450716688,61.022723223433864
2024Q2,66.54103136535888,69.76774673915259,73.47132353170318,65.46468712397535,54.68067960800854
2024Q3,76.23550800250786,80.53920768187882,84.56030734743365,73.04057219816762,64.20724650881763
2024Q4,81.40768216349855,83.69872684915035,86.43985824004467,84.17136839222131,70.12256368698621
2025Q1,81.19893112319583,98.84374089652067,88.6496288597284,89.18192910781998,84.8156131038148
2025Q2,82.5143471535085,109.56759045918376,93.9067830012201,98.91916117299911,81.09415191523979
2025Q3,87.03070433733065,101.93663229062491,86.9910049539115,94.46440404612046,81.75976951899237
