k,BIC,AIC,time_s
2,360348.5854221059,360057.77207898337,0.3062450885772705
3,357064.5717471109,356624.19725609676,2.1299381256103516
4,356025.038629533,355435.1029906273,2.162303924560547
5,355218.40208244754,354478.9052956502,2.1838319301605225
6,355265.7204930138,354376.66255832487,2.2447221279144287
7,354875.7263393343,353837.1072567537,2.3572821617126465
