indice_tiempo,IPC oficial publicado,IPC promedio (canasta 2017/18 overall),Obreros formales (sec.),Asalariados informales jóvenes,Trabajadores mayores con primario,Profesionales asalariadas,Cuentapropistas y patrones
2018-03-01,131.77262542812866,134.1900798928661,134.06960125699644,134.04785859612196,133.70745201999028,134.35799341086246,133.64953453044342
2018-04-01,135.1633057949128,138.03990973484557,137.99179542400432,137.84577855780742,137.43378437924525,138.35102832629275,137.4081084143371
2018-05-01,137.77106590467167,140.51647024056783,140.47201531167752,140.38999229815025,140.05678617018708,140.64554161442004,139.96329616984477
2018-06-01,143.17826932377878,146.02517793274376,145.95296027627265,145.89558897794134,145.59260781997614,146.04706726290203,145.5200168745746
2018-07-01,147.18525756813042,149.81996743389536,149.71181029467206,149.69154971102776,149.45422750952676,149.80079140184296,149.4216434433218
2018-08-01,153.16366112937135,157.1603916836902,157.01219710393224,156.9540446026188,156.6657537466644,157.03425004949452,156.56563880368486
2018-09-01,163.34557263135036,166.70066734466388,166.71752281863036,166.5994895404805,166.3772226075179,166.60270403883047,166.29695443330274
2018-10-01,171.6017687759715,175.44494476738544,175.4239384873278,175.41406583705236,175.16760474355937,175.1311140716548,175.02767589788357
2018-11-01,176.55878317688746,180.36492602208236,180.32190118642689,180.3137513453701,180.15226703819792,179.96900377501427,180.00191229317824
2018-12-01,181.55429214414733,185.84933772867157,185.71560540547623,185.602466019194,185.4526108012645,185.50208931507683,185.44245840153988
2019-01-01,186.67258890764268,191.42700725078356,191.31152488501718,191.20525736301354,191.1545481707624,190.90253993005578,191.04791983455658
2019-02-01,193.81491022869722,199.37131907125544,199.14696724773094,199.28064966079046,199.17854477551936,198.45172510408838,198.8494765674911
2019-03-01,203.1011814870747,208.6455687055588,208.52718014564934,208.69316770834405,208.4612110200259,207.87598789376324,208.12462236541185
2019-04-01,209.69362273350902,215.2508032087997,215.1964429402305,215.24642861058993,214.9640298685658,214.62755276369646,214.70279036900968
2019-05-01,216.04265987583037,221.55195030792905,221.3656380663981,221.4207664784779,221.12228304808707,220.96964515912873,221.01745320961723
2019-06-01,221.69958445609151,227.8183362148066,227.628660330544,227.64349262918415,227.39033387310127,227.12992540070206,227.22289433619846
2019-07-01,226.45524266382395,232.49384721749215,232.09532690364242,232.25957965488692,231.98247063794946,231.69851790352274,231.85455640158915
2019-08-01,235.21848134000572,240.8698031404997,240.3246760168331,240.58742829294204,240.41617549434199,239.90225009799863,240.35556064392063
2019-09-01,248.88040034348998,253.96069082571125,253.37512505500976,253.67497717218225,253.61625951272782,252.80366226417723,253.54326423886056
2019-10-01,256.8378194308726,261.15867881987697,260.33283632785634,260.79882013120607,260.7623696660333,259.945179018943,260.8107814482114
2019-11-01,267.2923514257795,271.7295741628972,270.90130980249097,271.44318246467077,271.55291557211046,270.1887240111313,271.49734788476354
2019-12-01,277.53348533751836,282.1763534358645,281.21708428299087,281.5921911917086,281.8177347899172,280.69908883822626,282.0309574889446
2020-01-01,282.7784193538835,287.513162895859,286.78105050718875,287.3878681997946,287.6813541281652,285.65239172678224,287.37314922783514
2020-02-01,287.95613593517123,292.77343737219235,292.1052165299068,292.82145201246726,293.07558030318694,290.7917493830634,292.61166651330996
2020-03-01,298.3105820575839,303.3710129691501,302.81954558934615,303.3147710829786,303.4517966547721,301.93038559422547,303.19389644981317
2020-04-01,302.47677988017335,307.3186972386951,306.7549165349396,307.5417269874001,307.7976156947325,305.2905571452043,307.2418388420036
2020-05-01,307.06049569156966,311.283478316818,310.90319277984855,311.5702891153246,311.7267018510563,309.4421531307651,311.1272499942727
2020-06-01,313.35179098437516,316.92634930333554,316.62809220137984,317.17433761750976,317.39643651712066,315.1727974688847,316.79724874352877
2020-07-01,318.4972313523437,321.8449847994292,321.4619805517465,322.03709486274255,322.29443331400637,320.09010609192796,321.7673847788527
2020-08-01,327.3969776830219,330.9627358358959,330.49611284405677,331.2934271390136,331.55109130613187,328.9056555850844,330.8867199654683
2020-09-01,336.4839655325575,339.4101986426452,339.04556696401824,339.90973911428796,340.24149346360514,337.1450102621257,339.4391317871692
2020-10-01,348.4690020036915,351.0258689667021,350.7257055899639,351.88041718373137,352.2509046887679,348.22932473074655,351.14655155444444
2020-11-01,358.826705358641,360.63400401002696,360.2736210656625,361.3437855387305,361.7484337932872,358.0200114323312,360.86879244590534
2020-12-01,372.1641842606576,373.2265230740601,372.8408345371207,373.7639035584216,374.2676708901514,370.633316054607,373.59517549163365
2021-01-01,384.3982509648318,385.946703592004,385.7056037679051,386.45423892872185,387.3261683940498,382.9994914892672,386.4796927818915
2021-02-01,398.2562948486374,399.0523570104714,398.768058982936,399.69806806877705,400.65633165132715,395.87123148120315,399.7915312986803
2021-03-01,418.953046499462,417.2579796373832,417.4910751524971,418.1029893632615,418.73621887452674,415.19559529647773,418.18874942667037
2021-04-01,436.16860620058634,434.23293958514705,434.47474454703564,435.3075008057369,435.9646787534324,431.82018073270143,435.2744647160551
2021-05-01,450.8657329266728,448.32501757131234,448.49043267035336,449.0909100971211,449.9445346867875,446.0625646864458,449.73431735368206
2021-06-01,464.6827159397116,462.50233998556655,462.87691834228224,463.5041389973389,464.54310003975866,459.79806186654787,463.9652582779146
2021-07-01,479.014144285531,476.2247180723084,476.355966954054,477.3154737905373,478.2819385696091,473.3936292939171,477.678752653009
2021-08-01,491.48391618054933,487.5077115896184,487.43417272530047,488.25429764507743,489.1531213954145,485.13543756861213,489.05019125573284
2021-09-01,510.3417133043144,504.70126984130434,504.75143569164163,505.4509919720326,506.5143707502718,502.36659244057796,506.4978595209192
2021-10-01,529.588799068234,522.776335640326,522.7214463908555,523.4828560009581,524.6133253382601,520.2141968355531,524.7100030771319
2021-11-01,541.5961426470443,533.067043934091,532.9909409521683,533.8888219426553,534.8532403276063,530.6820237514984,535.0905616451021
2021-12-01,563.5980575049599,553.9859795459345,554.6067222395593,555.1899496631565,556.2112106352105,551.9272756510275,556.2787570826457
2022-01-01,585.7312487045098,575.6188765544662,576.02564217679,576.9828455442545,578.2377436967915,572.7606364902309,578.0770172800735
2022-02-01,612.4591118612616,602.5120813567469,602.7716242158335,605.0837266672274,606.5493944978396,597.4555274065692,605.2440758949929
2022-03-01,653.2910880143713,641.3726117996191,642.1205842987303,644.4221900988838,645.1487796983877,637.3650014918504,644.0067226866466
2022-04-01,693.7204504851302,679.837550385331,680.9997477901375,683.3385703856086,684.0205618234143,675.5480832755958,682.6665053212441
2022-05-01,726.820546228026,710.6387755672862,711.7397463872778,714.0744108671971,714.9918754502943,706.2712351189502,713.9290172121875
2022-06-01,766.6045818404351,748.091243023404,748.5170934029284,751.5502802051109,752.4298307140737,743.0597466623954,751.4080814162666
2022-07-01,823.0823290199678,799.4007347298736,799.4972926809755,802.5178566649383,803.1337448836896,795.5616979651641,802.8730148566436
2022-08-01,880.2927561122463,853.8944905664122,854.2599470948485,857.6185063285801,858.289453868184,849.5910112456057,857.83303061641
2022-09-01,933.427694372884,904.3233866184353,905.5583996448358,909.5218955367565,910.4640026127258,898.7264504012594,908.7183022144359
2022-10-01,994.5688115049402,964.7113175649247,965.915004717861,970.301965351995,970.9611255489833,958.6628428610925,968.8592198134484
2022-11-01,1044.2910584031665,1015.5645529729351,1017.2151554259231,1020.9078631456179,1021.1007471123353,1010.8054126851034,1019.3690559922347
2022-12-01,1100.0916960311115,1067.2567594505826,1068.544695688051,1072.9490266770601,1073.112150974156,1062.333936769571,1071.608666451743
2023-01-01,1165.6618597810746,1135.0474184978636,1136.0649030864895,1140.856014571347,1141.6629452006132,1128.5605974620805,1139.365675932031
