LCA_class,share_01,share_02,share_03,share_04,share_05,share_06,share_07,share_08,share_09,share_10,share_11,share_12
0,0.2712099438438842,0.021647036451028404,0.07670861602071934,0.1649740998023619,0.03781070320761507,0.03571286829885136,0.13179508313395694,0.06472303538907381,0.08188685284582753,0.01983742678674044,0.05739053602898306,0.03630379819095799
1,0.3070555595007603,0.023350292188071983,0.07237844530171152,0.1666389868364577,0.043306708100795815,0.03726598571312037,0.11124658082584976,0.05792041199172503,0.07067963131943338,0.01514725214790896,0.05599300461905538,0.03901714145510979
2,0.31370974019662323,0.029056813151750648,0.06861048934233671,0.15680559136941288,0.04084094249759603,0.044005626911322454,0.1177800853157165,0.060155960482151855,0.07366411531658823,0.010662706196870311,0.05032024482826514,0.03438768439136606
3,0.20830277680170925,0.017586933721617695,0.07046603655488218,0.16671093797006792,0.04968540505636073,0.04655916919424948,0.1346395847405793,0.05986487995657575,0.0892531241280835,0.03703362181293466,0.07256966294593073,0.04732786711700876
4,0.27449653177547234,0.02271356464814417,0.06366986753421097,0.15070136733747594,0.04688804052265928,0.06046324618274901,0.1307887075300414,0.05739789765926586,0.07659367589381631,0.01999238011951068,0.058239073066885354,0.03805564772976869
