trimestre,class_0,class_1,class_2,class_3,class_4
2017Q1,100.0,100.0,100.0,100.0,100.0
2017Q2,100.12154013631887,106.23772960470086,105.30322449284873,105.46407279342318,105.800179625215
2017Q3,100.46543777595285,107.78572675916065,105.634400515875,105.602711544243,108.59698506730953
2017Q4,104.09056519809248,112.5028404241443,104.36616694381506,102.08894774311949,107.62197789805596
2018Q1,101.61477769444187,109.5193200897899,109.25199315598736,97.99435693335907,108.49244772976022
2018Q2,101.71409805439899,102.28960977859714,101.33960575845633,104.96196447237767,102.63279769368737
2018Q3,96.16080603022704,101.36551918486118,95.15622197968321,93.95392141633594,95.8038341839256
2018Q4,93.28243600251155,99.60007695008731,92.42116789195975,90.75787505607931,92.368746927281
2019Q1,88.67383606243723,102.11084135686097,95.39111666247683,91.69927864238619,83.54796182902031
2019Q2,91.01781762979034,96.29153272206543,92.96299207340539,87.14418986616069,85.72243851828134
2019Q3,93.92697563998824,106.1930025662814,94.63948527490952,92.14875406087388,86.57173488812973
2019Q4,85.56536849388708,93.99174612502561,91.11317559889164,83.19458347740621,82.45058788649744
2020Q1,85.95022043166956,85.54726485476574,92.55566744939878,84.6583325717652,82.73377001861121
2020Q2,83.29879948003564,66.50553099064393,94.72334171982727,85.49365800512709,91.58921620017459
2020Q3,84.05793788278237,67.52956364521727,90.20259783248103,78.297107210877,81.92431833140867
2020Q4,81.09793348453263,73.73801800122386,88.68822022438458,83.90729275057275,71.71633616568744
2021Q1,82.9418915541417,79.19826025691457,89.7646254151505,81.73035194422606,87.64246447514337
2021Q2,83.40547214965609,84.67788089686155,89.77618922177727,80.13286615250107,91.60552599363095
2021Q3,79.6588506006125,80.37724463354287,83.72460112027358,78.23835626815293,78.08316421291211
2021Q4,80.25781868765208,97.97219245953585,82.09872831829747,77.78510168431661,79.90516919688164
2022Q1,80.4166063554636,85.1440266401849,86.05834475396563,84.76423561737035,77.30475982319238
2022Q2,80.943116499027,72.40368602798935,80.49206791603393,79.53376751781053,75.1253375544565
2022Q3,75.72945966604784,74.9184504119552,78.14563509079439,74.73171085032303,73.58173049764221
2022Q4,76.94376961556164,79.06285282383723,77.05015075989915,79.23841313193321,76.6426054833538
2023Q1,76.48052213632717,74.41818336811856,79.73470724030231,75.96985040463996,71.82259221668512
2023Q2,79.16571507970616,73.06302145323829,79.67597395929906,78.00258254607535,68.80174448119674
2023Q3,73.71111558553295,78.36893402044977,78.64127389014409,84.31181276832362,70.62691858022406
2023Q4,72.27763385022133,75.86442307269982,79.20310604034053,76.64339988962672,71.24252668969845
2024Q1,60.89722104767079,66.96317544089852,64.76836600827515,64.1169303388114,60.13025710872353
2024Q2,65.78605057912623,69.35349264493554,71.78121393116533,64.91012765978019,54.537378109100054
2024Q3,75.34412627109178,80.01398521932627,82.86434255253857,72.35034423497034,63.90352660826778
2024Q4,80.40121119464807,83.02395704102061,84.96393211414002,83.21521220592497,69.55468655259848
2025Q1,80.2245704647593,98.08463052023323,87.23627090218093,88.27351851078612,84.1621000878947
2025Q2,81.46600835943758,108.60508912373179,92.35505687197706,97.94429787906735,80.40101139455462
2025Q3,85.97463834236228,101.1233087391538,85.77794517210137,93.47181983599097,81.02207321201355
