indice_tiempo,Obreros formales (sec.),Asalariados informales jóvenes,Trabajadores mayores con primario,Profesionales asalariadas,Cuentapropistas y patrones,IPC oficial
2017-01-01,99.99999999999997,99.99999999999994,99.99999999999994,99.99999999999993,99.99999999999994,100.0
2017-02-01,102.85331551340498,102.86813028557327,102.83040535232328,102.88607654003451,102.80879309925646,102.46315872592855
2017-03-01,105.37884805400178,105.43180846646334,105.36974984437906,105.33835357535312,105.28560407766645,104.88555269313909
2017-04-01,108.52199790480756,108.54208646313792,108.43700865406137,108.44450759959165,108.27789286184317,107.64788329237116
2017-05-01,109.83448470708528,109.87769561952143,109.75787550692787,109.81239990811127,109.62172609895535,109.02914729600349
2017-06-01,111.4591942749987,111.50547493041374,111.37039914991347,111.44651004125217,111.21981510229811,110.54287208946532
2017-07-01,113.2194290861361,113.27819176867266,113.16574930202569,113.29535002204474,113.07046479714542,112.44351662669155
2017-08-01,114.99067105410049,115.11653102094076,115.01186013777128,115.02101051695134,114.89501464969095,114.10490262848796
2017-09-01,117.19631628389729,117.29049075351473,117.1618462068288,117.26786759238645,117.06678529749462,116.43678501278217
2017-10-01,118.80740172268898,118.90620760291361,118.79926144879514,118.80392804985618,118.64499754936037,117.94981887813016
2017-11-01,120.15441422194604,120.23404659783412,120.13418592400771,120.14823479947816,120.00014612533579,119.32733212914432
2017-12-01,125.55132598491632,125.62031626459591,125.31338822933407,125.6614149616091,125.1317961753993,123.41871230740378
2018-01-01,127.24132665704467,127.32983704007799,127.09764285070608,127.32596293784863,126.93285126745441,125.36861014874697
2018-02-01,131.10724353937326,131.15039810959766,130.92695503859326,131.12789827265954,130.74218257891275,128.60274594573252
2018-03-01,134.06960125699644,134.04785859612196,133.70745201999028,134.35799341086246,133.64953453044342,131.77262542812866
2018-04-01,137.99179542400432,137.84577855780742,137.43378437924525,138.35102832629275,137.4081084143371,135.1633057949128
2018-05-01,140.47201531167752,140.38999229815025,140.05678617018708,140.64554161442004,139.96329616984477,137.77106590467167
2018-06-01,145.95296027627265,145.89558897794134,145.59260781997614,146.04706726290203,145.5200168745746,143.17826932377878
2018-07-01,149.71181029467206,149.69154971102776,149.45422750952676,149.80079140184296,149.4216434433218,147.18525756813042
2018-08-01,157.01219710393224,156.9540446026188,156.6657537466644,157.03425004949452,156.56563880368486,153.16366112937135
2018-09-01,166.71752281863036,166.5994895404805,166.3772226075179,166.60270403883047,166.29695443330274,163.34557263135036
2018-10-01,175.4239384873278,175.41406583705236,175.16760474355937,175.1311140716548,175.02767589788357,171.6017687759715
2018-11-01,180.32190118642689,180.3137513453701,180.15226703819792,179.96900377501427,180.00191229317824,176.55878317688746
2018-12-01,185.71560540547623,185.602466019194,185.4526108012645,185.50208931507683,185.44245840153988,181.55429214414733
2019-01-01,191.31152488501718,191.20525736301354,191.1545481707624,190.90253993005578,191.04791983455658,186.67258890764268
2019-02-01,199.14696724773094,199.28064966079046,199.17854477551936,198.45172510408838,198.8494765674911,193.81491022869722
2019-03-01,208.52718014564934,208.69316770834405,208.4612110200259,207.87598789376324,208.12462236541185,203.1011814870747
2019-04-01,215.1964429402305,215.24642861058993,214.9640298685658,214.62755276369646,214.70279036900968,209.69362273350902
2019-05-01,221.3656380663981,221.4207664784779,221.12228304808707,220.96964515912873,221.01745320961723,216.04265987583037
2019-06-01,227.628660330544,227.64349262918415,227.39033387310127,227.12992540070206,227.22289433619846,221.69958445609151
2019-07-01,232.09532690364242,232.25957965488692,231.98247063794946,231.69851790352274,231.85455640158915,226.45524266382395
2019-08-01,240.3246760168331,240.58742829294204,240.41617549434199,239.90225009799863,240.35556064392063,235.21848134000572
2019-09-01,253.37512505500976,253.67497717218225,253.61625951272782,252.80366226417723,253.54326423886056,248.88040034348998
2019-10-01,260.33283632785634,260.79882013120607,260.7623696660333,259.945179018943,260.8107814482114,256.8378194308726
2019-11-01,270.90130980249097,271.44318246467077,271.55291557211046,270.1887240111313,271.49734788476354,267.2923514257795
2019-12-01,281.21708428299087,281.5921911917086,281.8177347899172,280.69908883822626,282.0309574889446,277.53348533751836
2020-01-01,286.78105050718875,287.3878681997946,287.6813541281652,285.65239172678224,287.37314922783514,282.7784193538835
2020-02-01,292.1052165299068,292.82145201246726,293.07558030318694,290.7917493830634,292.61166651330996,287.95613593517123
2020-03-01,302.81954558934615,303.3147710829786,303.4517966547721,301.93038559422547,303.19389644981317,298.3105820575839
2020-04-01,306.7549165349396,307.5417269874001,307.7976156947325,305.2905571452043,307.2418388420036,302.47677988017335
2020-05-01,310.90319277984855,311.5702891153246,311.7267018510563,309.4421531307651,311.1272499942727,307.06049569156966
2020-06-01,316.62809220137984,317.17433761750976,317.39643651712066,315.1727974688847,316.79724874352877,313.35179098437516
2020-07-01,321.4619805517465,322.03709486274255,322.29443331400637,320.09010609192796,321.7673847788527,318.4972313523437
2020-08-01,330.49611284405677,331.2934271390136,331.55109130613187,328.9056555850844,330.8867199654683,327.3969776830219
2020-09-01,339.04556696401824,339.90973911428796,340.24149346360514,337.1450102621257,339.4391317871692,336.4839655325575
2020-10-01,350.7257055899639,351.88041718373137,352.2509046887679,348.22932473074655,351.14655155444444,348.4690020036915
2020-11-01,360.2736210656625,361.3437855387305,361.7484337932872,358.0200114323312,360.86879244590534,358.826705358641
2020-12-01,372.8408345371207,373.7639035584216,374.2676708901514,370.633316054607,373.59517549163365,372.1641842606576
2021-01-01,385.7056037679051,386.45423892872185,387.3261683940498,382.9994914892672,386.4796927818915,384.3982509648318
2021-02-01,398.768058982936,399.69806806877705,400.65633165132715,395.87123148120315,399.7915312986803,398.2562948486374
2021-03-01,417.4910751524971,418.1029893632615,418.73621887452674,415.19559529647773,418.18874942667037,418.953046499462
2021-04-01,434.47474454703564,435.3075008057369,435.9646787534324,431.82018073270143,435.2744647160551,436.16860620058634
2021-05-01,448.49043267035336,449.0909100971211,449.9445346867875,446.0625646864458,449.73431735368206,450.8657329266728
2021-06-01,462.87691834228224,463.5041389973389,464.54310003975866,459.79806186654787,463.9652582779146,464.6827159397116
2021-07-01,476.355966954054,477.3154737905373,478.2819385696091,473.3936292939171,477.678752653009,479.014144285531
2021-08-01,487.43417272530047,488.25429764507743,489.1531213954145,485.13543756861213,489.05019125573284,491.48391618054933
2021-09-01,504.75143569164163,505.4509919720326,506.5143707502718,502.36659244057796,506.4978595209192,510.3417133043144
2021-10-01,522.7214463908555,523.4828560009581,524.6133253382601,520.2141968355531,524.7100030771319,529.588799068234
2021-11-01,532.9909409521683,533.8888219426553,534.8532403276063,530.6820237514984,535.0905616451021,541.5961426470443
2021-12-01,554.6067222395593,555.1899496631565,556.2112106352105,551.9272756510275,556.2787570826457,563.5980575049599
2022-01-01,576.02564217679,576.9828455442545,578.2377436967915,572.7606364902309,578.0770172800735,585.7312487045098
2022-02-01,602.7716242158335,605.0837266672274,606.5493944978396,597.4555274065692,605.2440758949929,612.4591118612616
2022-03-01,642.1205842987303,644.4221900988838,645.1487796983877,637.3650014918504,644.0067226866466,653.2910880143713
