LCA_class,share_01,share_02,share_03,share_04,share_05,share_06,share_07,share_08,share_09,share_10,share_11,share_12
0,0.27229411607123155,0.02194301457456616,0.07677238690276475,0.162399243737804,0.038081111421062,0.03608934731645766,0.1322916253104682,0.06481648714133925,0.08190286148723668,0.019429047012810983,0.05787803445729969,0.036102724566959114
1,0.27449653177547234,0.02271356464814417,0.06366986753421097,0.15070136733747594,0.04688804052265928,0.06046324618274901,0.1307887075300414,0.05739789765926586,0.07659367589381631,0.01999238011951068,0.058239073066885354,0.03805564772976869
2,0.20489240182138305,0.017450002857346165,0.06921625077787277,0.16534781206289711,0.04986336954322556,0.04828756515836377,0.13986323417968502,0.05902729957416461,0.0887077983783223,0.03646916408870721,0.07332981399787629,0.047545287560156115
3,0.30275288263762384,0.02266582805395237,0.07494229248827973,0.17283026234063553,0.042161420251134944,0.033673042801529156,0.10462333616502197,0.060214724597513807,0.07386322713007137,0.01836339068359461,0.05488922658861225,0.039020366262030516
4,0.31364621652664265,0.029086018171855223,0.06866412787145847,0.15683929568537175,0.04088584880062593,0.04411936036350689,0.1175890475872888,0.060181298747157254,0.07371102340568114,0.010712811906227995,0.05021558589582942,0.034349365038354486
