indice_tiempo,IPC oficial publicado,IPC promedio (canasta 2017/18 overall),Obreros formales (sec.),Asalariados informales jóvenes,Trabajadores mayores con primario,Profesionales asalariadas,Cuentapropistas y patrones
2018-11-01,176.55878317688746,180.36492602208236,180.32190118642689,180.31375134537004,180.15226703819798,179.96900377501427,180.00191229317826
2018-12-01,181.55429214414733,185.84933772867157,185.7156054054762,185.602466019194,185.45261080126446,185.50208931507686,185.44245840153982
2019-01-01,186.67258890764268,191.42700725078356,191.31152488501718,191.20525736301354,191.15454817076244,190.90253993005578,191.0479198345566
2019-02-01,193.81491022869722,199.37131907125547,199.14696724773094,199.28064966079052,199.1785447755193,198.45172510408844,198.8494765674911
2019-03-01,203.1011814870747,208.64556870555882,208.52718014564934,208.69316770834405,208.46121102002596,207.87598789376327,208.12462236541188
2019-04-01,209.69362273350902,215.25080320879977,215.1964429402305,215.24642861058993,214.96402986856583,214.62755276369646,214.70279036900965
2019-05-01,216.04265987583037,221.55195030792902,221.36563806639813,221.42076647847787,221.12228304808707,220.96964515912873,221.01745320961723
2019-06-01,221.69958445609151,227.81833621480658,227.62866033054397,227.64349262918415,227.39033387310124,227.12992540070206,227.22289433619846
2019-07-01,226.45524266382395,232.49384721749215,232.09532690364242,232.25957965488698,231.98247063794946,231.6985179035227,231.85455640158915
2019-08-01,235.21848134000572,240.86980314049973,240.3246760168331,240.58742829294204,240.41617549434199,239.90225009799863,240.3555606439206
2019-09-01,248.88040034348998,253.96069082571125,253.3751250550098,253.67497717218225,253.6162595127278,252.8036622641772,253.5432642388605
2019-10-01,256.8378194308726,261.15867881987697,260.3328363278563,260.79882013120607,260.7623696660333,259.94517901894307,260.81078144821134
2019-11-01,267.2923514257795,271.7295741628972,270.90130980249097,271.4431824646707,271.5529155721104,270.1887240111313,271.4973478847636
2019-12-01,277.53348533751836,282.17635343586437,281.21708428299087,281.59219119170865,281.81773478991727,280.69908883822626,282.0309574889445
2020-01-01,282.7784193538835,287.5131628958589,286.78105050718875,287.3878681997947,287.6813541281652,285.65239172678224,287.3731492278351
2020-02-01,287.95613593517123,292.7734373721923,292.1052165299068,292.82145201246726,293.07558030318694,290.7917493830634,292.61166651330996
2020-03-01,298.3105820575839,303.3710129691501,302.8195455893462,303.3147710829786,303.45179665477207,301.9303855942255,303.19389644981317
2020-04-01,302.47677988017335,307.31869723869505,306.7549165349396,307.54172698740024,307.7976156947325,305.2905571452043,307.2418388420036
2020-05-01,307.06049569156966,311.2834783168181,310.9031927798486,311.5702891153246,311.7267018510563,309.44215313076506,311.12724999427274
2020-06-01,313.35179098437516,316.92634930333554,316.6280922013798,317.1743376175099,317.39643651712066,315.17279746888465,316.7972487435289
2020-07-01,318.4972313523437,321.84498479942926,321.46198055174654,322.0370948627425,322.2944333140064,320.090106091928,321.7673847788527
2020-08-01,327.3969776830219,330.96273583589584,330.49611284405677,331.2934271390136,331.55109130613175,328.90565558508445,330.88671996546833
2020-09-01,336.4839655325575,339.4101986426452,339.04556696401824,339.90973911428796,340.2414934636052,337.1450102621257,339.4391317871692
2020-10-01,348.4690020036915,351.0258689667021,350.72570558996387,351.88041718373125,352.2509046887679,348.22932473074655,351.1465515544445
2020-11-01,358.826705358641,360.63400401002696,360.27362106566244,361.3437855387305,361.74843379328723,358.0200114323312,360.8687924459053
2020-12-01,372.1641842606576,373.22652307406014,372.8408345371208,373.76390355842153,374.26767089015146,370.6333160546071,373.5951754916337
2021-01-01,384.3982509648318,385.9467035920039,385.7056037679051,386.4542389287219,387.32616839404983,382.99949148926726,386.47969278189146
2021-02-01,398.2562948486374,399.0523570104714,398.768058982936,399.69806806877705,400.65633165132715,395.8712314812032,399.79153129868035
2021-03-01,418.953046499462,417.2579796373831,417.4910751524971,418.1029893632615,418.7362188745268,415.19559529647773,418.1887494266703
2021-04-01,436.16860620058634,434.2329395851471,434.47474454703564,435.30750080573694,435.96467875343234,431.8201807327014,435.27446471605515
2021-05-01,450.8657329266728,448.32501757131234,448.4904326703533,449.0909100971211,449.94453468678756,446.0625646864458,449.734317353682
2021-06-01,464.6827159397116,462.5023399855665,462.8769183422822,463.50413899733894,464.54310003975866,459.7980618665478,463.9652582779146
2021-07-01,479.014144285531,476.2247180723084,476.355966954054,477.3154737905373,478.2819385696091,473.3936292939171,477.67875265300904
2021-08-01,491.48391618054933,487.50771158961834,487.43417272530047,488.2542976450773,489.15312139541436,485.13543756861213,489.0501912557328
2021-09-01,510.3417133043144,504.70126984130434,504.75143569164163,505.4509919720326,506.51437075027184,502.36659244057796,506.4978595209192
2021-10-01,529.588799068234,522.776335640326,522.7214463908555,523.4828560009581,524.6133253382601,520.2141968355531,524.7100030771319
2021-11-01,541.5961426470443,533.067043934091,532.9909409521683,533.8888219426553,534.8532403276063,530.6820237514984,535.0905616451021
2021-12-01,563.5980575049599,553.9859795459345,554.6067222395593,555.1899496631565,556.2112106352104,551.9272756510276,556.2787570826457
2022-01-01,585.7312487045098,575.6188765544662,576.02564217679,576.9828455442544,578.2377436967915,572.7606364902309,578.0770172800734
2022-02-01,612.4591118612616,602.5120813567469,602.7716242158335,605.0837266672273,606.5493944978397,597.4555274065692,605.2440758949929
2022-03-01,653.2910880143713,641.3726117996192,642.1205842987303,644.4221900988837,645.1487796983876,637.3650014918505,644.0067226866468
2022-04-01,693.7204504851302,679.8375503853313,680.9997477901377,683.3385703856085,684.0205618234143,675.5480832755959,682.666505321244
2022-05-01,726.820546228026,710.6387755672863,711.7397463872777,714.0744108671971,714.9918754502943,706.2712351189505,713.9290172121874
2022-06-01,766.6045818404351,748.091243023404,748.5170934029284,751.5502802051109,752.4298307140735,743.0597466623955,751.4080814162666
2022-07-01,823.0823290199678,799.4007347298735,799.4972926809756,802.5178566649384,803.1337448836894,795.5616979651638,802.8730148566437
2022-08-01,880.2927561122463,853.8944905664122,854.2599470948485,857.6185063285801,858.289453868184,849.5910112456057,857.8330306164102
2022-09-01,933.427694372884,904.3233866184353,905.5583996448357,909.5218955367567,910.4640026127258,898.7264504012593,908.7183022144361
2022-10-01,994.5688115049402,964.7113175649247,965.915004717861,970.3019653519949,970.961125548983,958.6628428610926,968.8592198134482
